PMID,Gene Name,Gene Type,Cell Name,Cell Type,Tissue Type,Experiment Type,Experimental Method,Title,Description of Gene,Interacting Gene,CellOntologyID
16110260,GATA4,TF,Ovarian germ cell tumors cell,Cancer cell,Ovary,low-throughput,Immunohistochemistry;Microscopic observation,"Transcription Factors GATA-4 and GATA-6, and their Potential Downstream Effectors in Ovarian Germ Cell Tumors","As transcription factors GATA-4 and GATA-6 as well as their downstream factors (e.g. HNF-4, BMP-2 and IHH) are essential for normal yolk sac development, we studied their expression in 19 ovarian GCTs",IHH;BMP2;HNF4A,
16140554,PBX1,TF,B cell,Cancer cell,Lymph,low-throughput + high-throughput,DNA-seq;PCR,Evaluation of sequence variants in the pre-B cell leukemia  transcription factor 1 gene: A positional and functional candidate  for type 2 diabetes and impaired insulin secretion,"PBX1 encodes a homeodomain containing protein that is essential for pancreatic development and interacts with insulin promoter factor 1 to regulate insulin secretion. PBX1 maps to chromosome 1q22, a region with replicated linkage to type 2 diabetes (T2DM).",,CL_0000236
16158187,ETV4,TF,Seminoma cell,Cancer cell,Testis,low-throughput,sqRT-PCR;Western blot;Microscopic observation;Immunohistochemistry,Gene signatures of testicular seminoma with emphasis on  expression of ets variant gene 4,"For ETV4  expression, a significant correlation with the increased  expression of matrix metalloproteinase 2 and a disintegrin and metalloproteinase domain 15 was determined.",,
16862183,ZEB1,TF,Stem cell,Cancer cell,Breast,low-throughput,RT–PCR;Western blot;Immunohistochemistry,NF-jB represses E-cadherin expression and enhances epithelial tomesenchymal transition of mammary epithelial cells: potential involvementof ZEB-1 and ZEB-4,Analysis of parental and MCF10A/p65 cells forgenes previously shown to be involved in EMT revealedelevated expression of ZEB-1 and ZEB-2 in MCF10A/p65  cells  compared  to  parental  cells.,TP63,CL_0000034
16862183,ZEB2,TF,Stem cell,Cancer cell,Breast,low-throughput,RT–PCR;Western blot;Immunohistochemistry,NF-jB represses E-cadherin expression and enhances epithelial tomesenchymal transition of mammary epithelial cells: potential involvementof ZEB-1 and ZEB-5,Analysis of parental and MCF10A/p65 cells forgenes previously shown to be involved in EMT revealedelevated expression of ZEB-1 and ZEB-2 in MCF10A/p65  cells  compared  to  parental  cells.,TP63,CL_0000034
17322369,HIF1A,TF,Cyst cell,Cancer cell,Kidney,low-throughput + high-throughput,Western blot;Microscopic observation;Immunohistochemistry;DNA-seq,Involvement of Hypoxia-Inducible TranscriptionFactors in Polycystic Kidney Disease,HIF-1 and HIF-2 were found to be up-regulated in cyst epithelium and cells of cyst walls.,EPO,
18602000,MITF,TF,Melanocytes cell,Cancer cell,Skin,low-throughput,RT-PCR;qRT-PCR;Western blot;Immunofluorescent staining,GSK3β inhibition promotes melanogenesis in mouse B16 Melanoma cells and normal Human melanocytes,MITF is the master regulator of the pigmentation microphthalmia-associated transcription factor in Melanocytes cell.,,
18678646,TP73,TF,Stem cell,Cancer cell,Breast,low-throughput,qRT-PCR;Weston blot;Flow cytometry;Weston blot,A gene signature-based approach identifies mTOR as a regulator of p73 ,"Thus, downstream gene signatures can be used to identify upstream regulators of transcription factor activity, and in doing so, we identified a new link between mTOR, TP73, and TP73-regulated genes associated with autophagy and metabolic pathways.",,CL_0000034
18695674,REL,TF,T cell,Cancer cell,Respiratory tract,low-throughput,RT–PCR;Weston blot;Electrophoretic mobility shift assay,Deletion analysis and alternative splicing define a transactivation inhibitory domain in human oncoprotein REL,"Reverse transcriptasepolymerase chain reaction analysis of mRNA from both primary lymphoma samples and several transformed tissue culture cell lines indicates that the RELD9 splice variant is preferentially expressed in lymphoma, suggesting that the REL transcript lacking exon 9 could serve as a marker for certain types of lymphoid tumors.",,CL_0000084
18718911,HYAL1,TF,Bladder Tumor cell,Cancer cell,Bladder,low-throughput + high-throughput,PCR;Sequencing technique;Weston blot,Epigenetic regulation of HYAL-1 hyaluronidase expression. identification of HYAL-1 promoter,"Thus, HYAL-1 expression is epigenetically regulated by the binding of different transcription factors to the methylated and unmethylated HYAL-1 promoter.",EGR1,
18825388,FOXP3,TF,Stem cell,Cancer cell,Mucosal,low-throughput,qRT-PCR,"High expression of Foxp3, IL-23p19 and survivin mRNA in colorectal carcinoma","We show a characteristic gene expression profile combining markers associated with inhibition of anti-tumor immune response (FOXP3, IL-10), inhibition of apoptosis (survivin).",IL23A;IL10,CL_0000034
18826220,GABPA,TF,Liver cell,Cancer cell,Liver,low-throughput,Weston blot;Immunofluorescent staining,"Imaging induction of cytoprotective enzymes in intact human cells: coumberone, a metabolic reporter for human AKR1C enzymes reveals activation by panaxytriol, an active component of red ginseng","The induction of these enzymes is regulated by the antioxidant response element (ARE), as demonstrated in recent literature, which in turn is dependent on the transcription factor NRF2.",AKR1C3;AKR1C2,CL_0000182
18985040,FOXP3,TF,T cell,Cancer cell,Colon,low-throughput,Immunohistochemistry;Immunofluorescent staining,High density of FOXP3-positive T cells infiltrating colorectal cancers with microsatellite instability,These data suggest that FOXP3-positive cells may play a role in the regulation of the immune response directed against MSI-H colorectal cancers at the primary tumour site.,CD8A,CL_0000084
19002168,TEAD1,TF,Germ cell,Cancer cell,Prostate,low-throughput,RT–PCR;Western blot;Immunohistochemistry;Immunofluorescent staining,TEAD1 and c-Cbl are novel prostate basal cell markers that correlate with poor clinical outcome in prostate cancer,The transcription factor TEAD1 and the ubiquitin ligase C-CBl were identified as novel basal cell markers.,,CL_0000586
19002168,TEAD1,TF,Germ cell,Cancer cell,Prostate,low-throughput,RT–PCR;Western blot;Immunohistochemistry;Immunofluorescent staining,TEAD1 and c-Cbl are novel prostate basal cell markers that correlate with poor clinical outcome in prostate cancer,The transcription factor TEAD1 and the ubiquitin ligase C-CBl were identified as novel basal cell markers.,,CL_0000670
19014499,ID1,TF,colon cell,Cancer cell,Colon,low-throughput,Immunohistochemistry;Evaluation of the immunostaining,Id-1: regulator of EGFR and VEGF and potential target for colorectal cancer therapy,"This study revealed that Id-1, EGFR and VEGF took part in development and progression of colorectal carcinomas and that Id-1 was associated with regulations of EGFR and VEGF.",VEGFA;EGFR,
19020915,ATF4,TF,Stem cell,Cancer cell,Breast,low-throughput,Western blot,The antiproliferative effect of EPA in HL60 cells is mediated by alterations in calcium homeostasis,"Given that the only known difference between these cells is Ec-resistance, our results strongly suggest that the inhibitory effect of EPA on HL60 cells is initially meditated through alterations of the Ca(2+)-homeostasis followed by activation of the UPR.",,CL_0000034
19020915,TIMP1,TF,Stem cell,Cancer cell,Breast,low-throughput,Western blot,The antiproliferative effect of EPA in HL60 cells is mediated by alterations in calcium homeostasis,"Given that the only known difference between these cells is Ec-resistance, our results strongly suggest that the inhibitory effect of EPA on HL60 cells is initially meditated through alterations of the Ca(2+)-homeostasis followed by activation of the UPR.",,CL_0000034
19048639,GLI3,TF,Brain cell,Cancer cell,Brain,low-throughput + high-throughput,Immunohistochemistry;Sequencing technique;Immunofluorescent staining;Microscopic observation,Analysis of early ventral telencephalic defects in mice lacking functional Gli3 protein.,Gli3 is a transcription factor expressed in Telencephalic.Gli3 is involved in regulating the shape offorebrain during early embryogenesis.,,
19050705,GABPA,TF,Stem cell,Cancer cell,Prostate,high-throughput,Sequencing technique,Regulatory potential for concerted modulation of Nrf2- and Nfkb1-mediated gene expression in inflammation and carcinogenesis,"NRf2 is indispensable to cellular defense against many chemical insults of endogenous and exogenous origin, which play major roles in the etiopathogenesis of many Cancers and inflammation-related diseases such as inflammatory bowel disease and Parkinson’s disease.",NFKB1,CL_0000034
19050705,NFKB1,TF,Stem cell,Cancer cell,Prostate,high-throughput,Sequencing technique,Regulatory potential for concerted modulation of Nrf2- and Nfkb1-mediated gene expression in inflammation and carcinogenesis,"NFKB1 is indispensable to cellular defense against many chemical insults of endogenous and exogenous origin, which play major roles in the etiopathogenesis of many Cancers and inflammation-related diseases such as inflammatory bowel disease and Parkinson’s disease",GABPA,CL_0000034
19176379,ASCL1,TF,Nerve cell,Cancer cell,Nerve,low-throughput,Western blot;Flow cytometry;Microscopic observation;qPCR;qRT-PCR,Achaete-scute Complex Homologue 1 Regulates Tumor-Initiating Capacity in Human Small Cell Lung Cancer,"In SCLC direct xenograft tumors, we detected a relatively abundant CD133(high)-ASCL1(high)-ALDH1(high) subpopulation with markedly enhanced tumorigenicity compared with cells with weak CD133 expression.",PROM1,CL_0002319
19874827,FOXP3,TF,T cell,Cancer cell,Lymph,low-throughput,Flow cytometric,Technical advancement in regulatory T cell isolation and characterization using CD127 expression in patients with malignant glioma treated with autologous dendritic cell vaccination ,Treg have been characterized based on the expression of the transcription factor FOXP3.,IL7R;CD4;IL2RA,CL_0000084
20004952,TTF1,TF,Ovarian Carcinomas cell,Cancer cell,Ovarian,low-throughput,Immunohistochemistry;Microscopic observation,Thyroid transcription factor 1 expression in ovarian Carcinomas is an independent prognostic factor,Thyroid transcription factor 1(TTF1) is expressed in ovarian cancer cells and has a good prognosis in ovarian cancer patients  ,EGFR,
20028867,MYC,TF,Medulloblastoma cell,Cancer cell,Nerve,low-throughput,Western blot;Microscopic observation;qPCR,OTX2 is critical for the maintenance and progression of Shh-independent medulloblastomas,MYC up-regulation accelerates the mechanism by which OTX2 promotes tumor progression.,OTX2,
20051780,AFF1,TF,B cell,Cancer cell,Blood,low-throughput + high-throughput,Flow cytometry;Sequencing technique;PCR,Dense methylation of types 1 and 2 regulatory regions of the CD10 gene promoter in infant acute lymphoblastic leukemia with MLL/AF4 fusion gene,AF4 is a transcription factor that regulates CD10 expression in infant acute lymphoblastic leukemia (ALL)B cells,MME,CL_0000236
20080637,MIR18A,TF,Human neuroblastoma cell,Cancer cell,Nerve,low-throughput,Weston blot;Gene knock down;Weston blot;Microscopic observation,MYCN-regulated microRNAs repress estrogen receptor-alpha (ESR1) expression and neuronal differentiation in Human neuroblastoma,MIR-18A and MIR-19A target and repress the expression of estrogen receptor-α (ESR1),ESR1,
20080637,MIR19A,TF,Human neuroblastoma cell,Cancer cell,Nerve,low-throughput,Weston blot;Gene knock down;Weston blot;Microscopic observation,MYCN-regulated microRNAs repress estrogen receptor-alpha (ESR1) expression and neuronal differentiation in Human neuroblastoma,MIR-18A and MIR-19A target and repress the expression of estrogen receptor-α (ESR1),ESR1,
20082326,TGFB1,TF,Prostate cancer cell,Cancer cell,Prostate,low-throughput + high-throughput,Western blot;qRT-PCR;Sequencing technique,The Cancer-related Runx2 protein enhances cell growth and responses to androgen and TGFβ in prostate Cancer cells,TGFβ and androgen response pathways support the growth of prostate cancer cells,RUNX2,
20082847,SP1,TF,Human hepatic carcinoma cell,Cancer cell,Liver,low-throughput + high-throughput,DNA-seq;Western blot;Bioinformatic prediction,Identification and characterization of the Human SLC5A8 gene promoter,"Overexpression of two transcription factors, CCAAT/enhancer binding protein beta (C/EBPb) and specific transcription factor 1 (Sp1), upregulated the activities of the Human SLC5A8 promoter and protein expression, suggesting that both C/EBPb and Sp1 transcription factors might have functions in SLC5A8 transcription.",SLC5A8,
20106868,WT1,TF,Stem cell,Cancer cell,Kidney,low-throughput + high-throughput,qRT-PCR;Immunofluorescent staining;Western blot;Flow cytometry;The altered amino acid seq,Wilms Cancer cell with WT1 mutations have characteristic features of mesenchymal stem cells and express molecular markers of paraxial mesoderm,Wilms Cancer cell with WT1 mutations have characteristic features of mesenchymal stem cells and express molecular markers of paraxial mesoderm,NT5E;THY1;ENG,CL_0000034
20117855,TTF1,TF,Type ii pneumocytes cell,Cancer cell,Lung,low-throughput + high-throughput,Microscopic observation;PCR;The primer seq,Activation status of receptor tyrosine kinase downstream pathways in primary Lung adenoCarcinoma with reference of KRAS and EGFR mutations,TTF-1 is a regulator of normal Lung development or maintenance of type II pneumocytes [25] and was expressed in 79.8% (154/193) of the cases.,EGFR;KRAS,
20118910,ERG,TF,Prostate cancer cell,Cancer cell,Prostate,low-throughput + high-throughput,Immunofluorescent staining;Microscopic observation;whole transcriptome seq,Prevalence of TMPRSS2-ERG and SLC45A3-ERG gene fusions in a large prostatectomy cohort,ERG is a transcription factor expressed in Prostate cancer cell.,SLC45A3;TMPRSS2,
20145124,ATOH1,TF,Colon Carcinoma cell,Cancer cell,Colon,low-throughput,Flow cytometry;Microscopic observation;Immunohistochemistry;Weston blot;Immunofluorescent staining,NOTCH signaling is required for formation and self-renewal of Cancer -initiating cells and for repression of secretory cell differentiation in colon Cancer,ATOH1 is a transcription factor expressed in Colon Carcinoma cell,IFI27,
20145133,ETS2,TF,Macrophage cell,Cancer cell,Breast,low-throughput,ChIP;qRT-PCR;Immunohistochemistry,An ets2-driven transcriptional program in Cancer -associated macrophages promotes Cancermetastasis,We identified ETS2 as a central driver of a transcriptional program in TAMs that acts to promote Lung metastasis of Breast Cancers.,,CL_0000235
20145620,SNAI1,TF,Squamous cell carcinoma of the oral cell,Cancer cell,Oral cavity,low-throughput,Immunohistochemistry;Immunostainings;Microscopic observation,Bmi-1 expression predicts prognosis in Squamous cell Carcinoma of the tongue,SNAIL is a transcription factor that regulates Squamous cell carcinoma of the oral cells,BMI1,
20145620,MYC,TF,Squamous cell carcinoma of the oral cell,Cancer cell,Oral cavity,low-throughput,Immunohistochemistry;Immunostainings;Microscopic observation,Bmi-1 expression predicts prognosis in Squamous cell Carcinoma of the tongue,Transcription factor C-MYC affects the proliferation and apoptosis of Squamous cell carcinoma of the oral cells,BMI1,
20150431,SNAI1,TF,Epithelial cell,Cancer cell,Skin,low-throughput,Immunohistochemistry;RT-PCR;Western blot;qRT-PCR;Microscopic observation,Regulation of p63 isoforms by snail and slug transcription factors in Human Squamous cell Carcinoma,The disruption of P63 expression induced by Snail and Slug plays a crucial role in Cancerprogression.And known to promote Epithelial-to-mesenchymal transitions during development and Cancer,TP63,CL_0000066
20150431,SNAI2,TF,Epithelial cell,Cancer cell,Skin,low-throughput,Immunohistochemistry;RT-PCR;Western blot;qRT-PCR;Microscopic observation,Regulation of p63 isoforms by snail and slug transcription factors in Human Squamous cell Carcinoma,The disruption of P63 expression induced by Snail and Slug plays a crucial role in Cancerprogression.And known to promote Epithelial-to-mesenchymal transitions during development and Cancer,TP63,CL_0000066
20150431,TP63,TF,Epithelial cell,Cancer cell,Skin,low-throughput,Immunohistochemistry;RT-PCR;Western blot;qRT-PCR;Microscopic observation,Regulation of p63 isoforms by snail and slug transcription factors in Human Squamous cell Carcinoma,"Regulation of P63 isoforms by snail and slug transcription factors inHuman Squamous cellTherefore, p63 and its regulating factors could constitute novel prognosis markers in patients with SCC and attractive targets for the therapeutic modulation of neoplastic cell invasiveness.",SNAI1;SNAI2,CL_0000066
20159777,HPRT1,TF,Stem cell,Cancer cell,Brain,low-throughput,RT–PCR;qPCR;Western blot;Immunofluorescent staining,Human neural stem cells: a model system for the study of Lesch-Nyhan disease neurological aspects,NR1D1 is a transcription factor expressed in Cancer stem cell,ELSPBP1,CL_0000034
20160030,NR1D1,TF,Stem cell,Cancer cell,Breast,low-throughput,Western blot;qRT-PCR;Immunofluorescent staining,An RNA interference screen identifies metabolic regulators NR1D1 and PBP as novel survival factors for Breast Cancer cells with the ERBB2 signature,"NR1D1 and PBP act through a common pathway in upregulating several genes in the de novo fatty acid synthesis network, which is highly active in ERBB2-positive Breast Cancer cells.",ERBB2,CL_0000034
20861305,HIF1A,TF,Epithelial cell,Cancer cell,Breast,low-throughput,Immunofluorescent staining;RT-PCR;Weston blot;Gene knock down;Immunoblot Analysis,Hypoxia Suppression of Bim and Bmf Blocks Anoikis and Luminal Clearing during Mammary Morphogenesis,HIF-1 Is Required for Hypoxia-induced Bim Inhibition and Anoikis Resistance,BMF;BCL2L11,CL_0000066
20876744,EIF4E,TF,Stem cell,Cancer cell,Breast,low-throughput,Weston blot;RT-PCR;Gene knock down;siRNA knockdown,Rapamycin Regulates Stearoyl CoA Desaturase 1 Expression in Breast Cancer,"EIF4E small interfering RNA (siRNA) decreased both SCD1 and SREBP1 expression, suggesting that SCD1 may be regulated through the mTOR/eIF4E-binding protein 1 axis.",SREBF1;SCD,CL_0000034
20876744,MTOR,TF,Stem cell,Cancer cell,Breast,low-throughput,Weston blot;RT-PCR;Gene knock down;siRNA knockdown,Rapamycin Regulates Stearoyl CoA Desaturase 1 Expression in Breast Cancer,"Mammalian target of rapamycin (mTOR) signaling is a central regulator of protein translation, cell growth, and metabolism.",SCD,CL_0000034
20876809,HNF4A,TF,Liver carcinoma cell,Cancer cell,Liver,low-throughput,Immunohistochemistry;Weston blot;qRT-PCR;Microscopic observation,Hepatocyte Nuclear Factor 4α Suppresses the Development of Hepatocellular Carcinoma,The inhibitory effect of HNF4α on HCC development might be attributed to suppression of hepatocyte EMT and cancer stem cell generation through an inhibition of β-catenin signaling pathways,,CL_0001064
20952660,FOXP3,TF,Colorectal cancer cell,Cancer cell,Colon,low-throughput,Western blot;Flow cytometry,Foxp3+IL-17+ T cells promote development of cancer-initiating cells in colorectal cancer,The transcription factor FOXP3 binds to the marker IL17A to promote the transformation of cells into colorectal cancer cells  ,IL17A,
21278797,MITF,TF,Melanocytes cell,Cancer cell,Skin,low-throughput,Immunofluorescent staining;Flow cytometry;RT-PCR;qPCR;Western blot;Microscopic observation,Mitf is the key molecular switch between mouse or human melanomainitiating cells and their differentiated progeny,"Microphthalmia-associated transcription factor (MITF), the master reg-ulator of melanocyte differentiation, increases the tumori-genic potential of melanoma cells and upregulates thestem cell markers OCT4 and NANOG.",NANOG;POU5F1,
21285251,TWIST1,TF,Stem cell,Cancer cell,Pancreas,low-throughput,Immunohistochemistry;Microscopic observation;qRT-PCR;Immunofluorescent staining;Western blot,DCAMKL-1 Regulates Epithelial–Mesenchymal Transition inHuman Pancreatic Cells through amiR-200a–DependentMechanism,"Knockdown of DCAMKL-1 induces pri-miR-200a resulting in down regulation of ZEB1, ZEB2, Snail, Slug and TWIST1 in pancreatic cancer cell lines.",DCLK1,CL_0000034
21288558,POU5F1,TF,Germ cell,Cancer cell,Testis,low-throughput,Immunohistochemistry;Microscopic observation,RNA-binding protein LIN28 is a marker for testicular germcell tumors,We also compared LIN28 with SALL4 (Sal-like 4) and OCT4 (octamer-binding transcription factor 4) in all germ cell tumors.,LIN28A,
21288909,KLF6,TF,Pancreas cell,Cancer cell,Pancreas,low-throughput + high-throughput,RT-PCR;Western blot;Flow cytometry;RNA-seq,Structural Analysis of the Cancer-specific Promoter inMesothelin and in Other Genes Overexpressed in Cancers,"SP1, GLI1, and RUNX1/2/3 appeared unlikely to be the direct transcription factors acting at the SP1-like motif, but KLF6 had some features of such a candidate.",MSLN,
21288909,SP1,TF,Pancreas cell,Cancer cell,Pancreas,low-throughput + high-throughput,RT-PCR;Western blot;Flow cytometry;RNA-seq,Structural Analysis of the Cancer-specific Promoter inMesothelin and in Other Genes Overexpressed in Cancers,"SP1, GLI1, and RUNX1/2/3 appeared unlikely to be the direct transcription factors acting at the SP1-like motif, but KLF6 had some features of such a candidate.",MSLN,
21288909,GLI1,TF,Pancreas cell,Cancer cell,Pancreas,low-throughput + high-throughput,RT-PCR;Western blot;Flow cytometry;RNA-seq,Structural Analysis of the Cancer-specific Promoter inMesothelin and in Other Genes Overexpressed in Cancers,"SP1, GLI1, and RUNX1/2/3 appeared unlikely to be the direct transcription factors acting at the SP1-like motif, but KLF6 had some features of such a candidate.",MSLN,
21288909,RUNX1,TF,Pancreas cell,Cancer cell,Pancreas,low-throughput + high-throughput,RT-PCR;Western blot;Flow cytometry;RNA-seq,Structural Analysis of the Cancer-specific Promoter inMesothelin and in Other Genes Overexpressed in Cancers,"SP1, GLI1, and RUNX1/2/3 appeared unlikely to be the direct transcription factors acting at the SP1-like motif, but KLF6 had some features of such a candidate.",MSLN,
21288909,RUNX2,TF,Pancreas cell,Cancer cell,Pancreas,low-throughput + high-throughput,RT-PCR;Western blot;Flow cytometry;RNA-seq,Structural Analysis of the Cancer-specific Promoter inMesothelin and in Other Genes Overexpressed in Cancers,"SP1, GLI1, and RUNX1/2/3 appeared unlikely to be the direct transcription factors acting at the SP1-like motif, but KLF6 had some features of such a candidate.",MSLN,
21288909,RUNX3,TF,Pancreas cell,Cancer cell,Pancreas,low-throughput + high-throughput,RT-PCR;Western blot;Flow cytometry;RNA-seq,Structural Analysis of the Cancer-specific Promoter inMesothelin and in Other Genes Overexpressed in Cancers,"SP1, GLI1, and RUNX1/2/3 appeared unlikely to be the direct transcription factors acting at the SP1-like motif, but KLF6 had some features of such a candidate.",MSLN,
21321311,SOX9,TF,Stem cell,Cancer cell,Breast,low-throughput,Immunohistochemistry;Microscopic observation;Immunofluorescent staining,Prognostic significance of cytoplasmic SOX9 in invasive ductal carcinoma and metastatic breast cancer,"SOX9, a high mobility group (HMG) box transcription factor, is required for development, differentiation and lineage commitment.",MKI67,CL_0000034
21363924,BRCA1,TF,Stem cell,Cancer cell,Breast,low-throughput,RqPCR;RT-PCR;qPCRWeston blot;Flow-throughput cytometry;Immunofluorescent staining;Microscopic observation,The DeltaNp63 proteins are key allies of BRCA1 in the prevention of basal-like breast cancer,TP63 proteins is critical for BRCA1 suppressor function and that defects in BRCA1-TP63 signaling are key events in the pathogenesis of basal-like breast cancer.,TP63,CL_0000034
21372204,EPAS1,TF,Prostate carcinoma cell,Cancer cell,Prostate,high-throughput,Sequencing technique,Large-scale exploration of gene-gene interactions in prostate cancer using a multistage genome-wide association study,"EPAS1, which has implications not only in prostate cancer but also in other epithelial cancers that are associated with the 8q24 locus.",KLK3;KLK2,CL_0001064
21383077,ATOH1,TF,Tuft cell,Cancer cell,Intestine,low-throughput,Immunofluorescent staining;Immunohistochemistry;Microscopic observation,Distinct ATOH1 and Neurog3 requirements define tuft cells as a new secretory cell type in the  intestinal epithelium,"The ATOH1/MATH1 transcription factor is essential for their differentiation, Neurog3, SOX9, GFI1, and SPDEF are dispensable, which distinguishes these cells from enteroendocrine, Paneth, and goblet cells, and raises from three to four the number of secretory cell types in the intestinal epithelium.",DCLK1,
21383077,NEUROG3,TF,Tuft cell,Cancer cell,Intestine,low-throughput,Immunofluorescent staining;Immunohistochemistry;Microscopic observation,Distinct ATOH1 and Neurog3 requirements define tuft cells as a new secretory cell type in the  intestinal epithelium,"The ATOH1/MATH1 transcription factor is essential for their differentiation, NEUROG3, SOX9, GFI1, and SPDEF are dispensable, which distinguishes these cells from enteroendocrine, Paneth, and goblet cells, and raises from three to four the number of secretory cell types in the intestinal epithelium.",DCLK1,
21410771,LEF1,TF,Melanocytes cell,Cancer cell,Skin,low-throughput,qPCR;Immunohistochemistry;Microscopic observation,Identification of new genes associated with melanoma,"We identified a panel of novel melanomaassociated markers: frizzled-related protein, an antagonist of Wnt; tranducin-like enhancer of split 1, a transcription factor partner of TCF LEF-1.",,
